Time,m_omega,m_omega_dot,m_omega_dot_dot,m_accel_dot,M_omega,M_omega_dot,M_omega_dot_dot,M_accel_dot,excited?
11.5583,0,0,0,0,0.060511,0,0,0,1
11.5608,0,0,0,0,0.060511,0.00569753,0,0.0730323,1
11.5632,0,0,0,0,0.0611715,0.00569753,0.00794906,0.0730323,1
11.5657,0,0,0,0,0.0661946,0.00699483,0.00794906,0.0730323,1
11.5681,0,0,0,0,0.0661946,0.00699483,0.00873791,0.0730323,1
11.5706,0,0,0,0,0.0699983,0.00699483,0.00873791,0.0730323,1
11.5731,0,0,0,0,0.0716596,0.00699483,0.00873791,0.0730323,1
11.5755,0,0,0.00100422,0,0.0718649,0.00699483,0.00873791,0.0730323,1
11.578,0,0,0.00135708,0,0.0752462,0.00699483,0.00873791,0.0730323,1
11.5804,0,0,0.00135708,0.00894435,0.0765394,0.00699483,0.00873791,0.0730323,1
11.5829,0,0,0.00208959,0.00894435,0.0779751,0.00699483,0.00873791,0.0730323,1
11.5853,0,0,0.00242656,0.00894435,0.0795039,0.00699483,0.00873791,0.0730323,1
11.5878,0,0,0.00242656,0.0123041,0.0813643,0.00699483,0.00873791,0.0730323,1
11.5902,0,0,0.00242656,0.0123041,0.083401,0.00699483,0.00873791,0.0735946,1
11.5927,0,0,0.00242656,0.0123041,0.0852647,0.00699483,0.00873791,0.0735946,1
11.5951,0,0.00040756,0.00242656,0.0123041,0.08576,0.00699483,0.00873791,0.0735946,1
11.5976,0,0.00040756,0.00250137,0.0123041,0.0878127,0.00699483,0.00873791,0.0735946,1
11.6,0,0.00040756,0.00250137,0.0125105,0.0878127,0.00699483,0.00873791,0.0735946,1
11.6025,0,0.000985264,0.00250137,0.0125105,0.0878127,0.00699483,0.00873791,0.0735946,1
11.6049,0,0.000985264,0.00250137,0.0125105,0.0878127,0.00699483,0.00873791,0.0921371,1
11.6099,0,0.000985264,0.00250137,0.0125105,0.0878127,0.00699483,0.00873791,0.0921371,1
11.6148,0,0.000985264,0.00250137,0.0125105,0.0878127,0.00699483,0.00873791,0.0921371,1
11.6172,0,0.00106942,0.00252963,0.0125105,0.0878127,0.00699483,0.00873791,0.0921371,1
11.6197,0,0.00106942,0.00252963,0.0125105,0.0878127,0.00699483,0.0103119,0.0921371,1
11.6221,0,0.00106942,0.00252963,0.0167936,0.0878127,0.00699483,0.0103119,0.0921371,1
11.6246,0,0.00106942,0.00283233,0.0167936,0.0878127,0.00699483,0.0103119,0.0921371,1
11.627,0,0.00186573,0.00283233,0.0187183,0.0878127,0.00699483,0.0103119,0.0921371,1
11.6295,0,0.00194389,0.00284764,0.0187183,0.0878127,0.00731924,0.0103119,0.0921371,1
11.6319,0,0.00203585,0.00284764,0.0187183,0.0878127,0.00731924,0.0103119,0.0921371,1
